eps,min_samples,n_clusters,noise_ratio,largest_cluster
0.2047912097111927,4,1349,0.13265101746514982,6393
0.13777568795041045,7,768,0.3694720397372216,4506
0.22171958398227648,3,1741,0.07767184746034289,6709
0.18947360581187278,5,1008,0.19205656144848582,6607
0.06883546957752991,7,810,0.6861280243550713,2208
0.24512447032735118,7,565,0.18280323666079154,6476
0.20222794039807063,4,1370,0.13453372856913956,7198
0.20721286105539077,6,752,0.20100945361320302,6689
0.07562272653510918,3,4243,0.3283728569139561,2157
0.14007718757911342,3,2696,0.16986460503124498,4926
0.12415960484651625,4,1817,0.26926774555359717,4629
0.23535299776972035,7,573,0.19019387918602787,7207
0.17877302401613293,6,782,0.247215991027079,6389
0.21455232265416602,5,951,0.1599503284730011,6538
0.13868283976546625,4,1668,0.2334161192116648,4925
0.09544774435695538,3,3644,0.25642925813170964,2285
0.16091695740316697,4,1528,0.19516103188591571,6362
0.06276345122083507,3,4462,0.39206457298509856,2108
0.21552623439851643,3,1868,0.084261336324307,6471
0.17633287982441298,6,797,0.25290418202211185,6347
0.20161754801707477,3,1954,0.09505688190995033,6663
0.12090519362597368,3,3064,0.19908668482614966,4500
0.24413960487898068,5,861,0.12113443358436148,6752
0.22862422426443957,4,1212,0.10757490786732896,5972
0.20567669941475236,5,996,0.16810206697644609,6587
0.08892774157039351,3,3899,0.2758372055760295,2272
0.14334420074540682,4,1656,0.22798830315654542,5008
0.05876075315744576,5,1498,0.6347740746675212,2003
0.08085789841350957,6,1212,0.5499319019387918,2336
0.18660979064849093,5,983,0.20076910751482135,6487
0.19895243118156342,5,1009,0.17741547828873577,7230
0.24350194648684204,5,865,0.12315734657907387,7194
0.1151650716276304,4,1968,0.2903981733696523,4340
0.12409194120697378,4,1819,0.2695882070181061,4729
0.1439111622551616,5,1171,0.2740946963627624,5068
0.08789427181685715,3,3863,0.2845898093254286,2264
0.07598430106709433,6,1190,0.57941435667361,2232
0.14514098524518676,6,849,0.3186989264540939,5206
